eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"5;100;115;355",100695.594187,false,6016.040804,28595.295086,75536.825307,56631.691286
2,"15;100;115;355",99582.626785,false,6027.506920,28083.375584,75002.783391,55940.705171
3,"5;90;115;355",102289.335021,false,5565.303101,29894.283610,73793.043920,59866.452700
4,"5;110;115;355",103134.573210,false,6026.996910,28954.454637,74726.292249,61579.951075
5,"5;100;105;355",101364.239474,false,5634.457025,28223.132277,77371.630699,57641.669646
6,"5;100;125;355",99552.357865,false,5741.321299,28392.235504,75087.343770,55750.258355
7,"5;100;115;345",99465.798142,false,6034.671955,27260.680228,74985.717099,57355.174819
8,"355;100;115;345",100563.900665,false,5974.046134,27903.031055,75836.113047,57537.533906
9,"15;100;115;345",99317.122483,false,6450.057746,26507.755541,75794.772932,56923.845458
10,"5;90;115;345",101478.560737,false,5764.015114,28665.193420,73214.084612,60884.619794
11,"5;110;115;345",101833.311014,false,6132.045455,27941.298962,73911.047434,61608.885760
12,"5;100;105;345",98193.726396,false,5556.488999,26983.862268,75600.890325,55705.859933
13,"5;100;125;345",99096.131184,false,5870.935809,27185.198987,75034.651892,57045.340884
14,"5;100;115;335",98462.588243,false,6257.126757,26428.797292,73677.740205,57875.588183
15,"5;100;115;355",100695.594187,true,6016.040804,28595.295086,75536.825307,56631.691286
16,"355;100;105;345",99802.381239,false,5473.015488,27792.432466,76738.520875,56335.345694
17,"15;100;105;345",97969.520331,false,6019.064251,26339.695976,76229.800750,54991.719456
18,"5;90;105;345",99343.641383,false,5485.877737,28132.695057,73912.971408,57537.165770
19,"5;110;105;345",98541.422017,false,5667.537716,27153.321887,73938.128778,57502.996049
20,"5;100;95;345",101045.085461,false,5632.421590,27795.815773,76364.102460,58869.593738
21,"5;100;115;345",99465.798142,true,6034.671955,27260.680228,74985.717099,57355.174819
22,"5;100;105;335",96860.394476,false,5734.026913,25858.871935,74359.796249,56175.195005
23,"5;100;105;355",101364.239474,true,5634.457025,28223.132277,77371.630699,57641.669646
24,"355;100;105;335",97010.871413,false,5594.971450,26541.920186,74425.402277,55322.557277
25,"15;100;105;335",97261.076551,false,6547.798612,24850.869806,75637.753020,56087.063247
26,"5;90;105;335",97601.919666,false,5610.661352,27032.769515,72986.635302,56930.342296
27,"5;110;105;335",97422.512994,false,5921.232444,26069.342278,73135.783147,57728.093398
28,"5;100;95;335",99551.412671,false,6026.486234,26462.704274,74964.172571,59160.271755
29,"5;100;115;335",98462.588243,true,6257.126757,26428.797292,73677.740205,57875.588183
30,"5;100;105;325",96958.011385,false,6015.021899,25580.604055,74000.533222,56724.237640
31,"5;100;105;345",98193.726396,true,5556.488999,26983.862268,75600.890325,55705.859933
32,"355;100;105;335",97010.871413,true,5594.971450,26541.920186,74425.402277,55322.557277
33,"15;100;105;335",97261.076551,true,6547.798612,24850.869806,75637.753020,56087.063247
34,"5;90;105;335",97601.919666,true,5610.661352,27032.769515,72986.635302,56930.342296
35,"5;110;105;335",97422.512994,true,5921.232444,26069.342278,73135.783147,57728.093398
36,"5;100;95;335",99551.412671,true,6026.486234,26462.704274,74964.172571,59160.271755
37,"5;100;115;335",98462.588243,true,6257.126757,26428.797292,73677.740205,57875.588183
38,"5;100;105;325",96958.011385,true,6015.021899,25580.604055,74000.533222,56724.237640
39,"5;100;105;345",98193.726396,true,5556.488999,26983.862268,75600.890325,55705.859933
40,"355;100;105;335",97010.871413,true,5594.971450,26541.920186,74425.402277,55322.557277
41,"15;100;105;335",97261.076551,true,6547.798612,24850.869806,75637.753020,56087.063247
42,"5;90;105;335",97601.919666,true,5610.661352,27032.769515,72986.635302,56930.342296
43,"5;110;105;335",97422.512994,true,5921.232444,26069.342278,73135.783147,57728.093398
44,"5;100;95;335",99551.412671,true,6026.486234,26462.704274,74964.172571,59160.271755
45,"5;100;115;335",98462.588243,true,6257.126757,26428.797292,73677.740205,57875.588183
46,"5;100;105;325",96958.011385,true,6015.021899,25580.604055,74000.533222,56724.237640
47,"5;100;105;345",98193.726396,true,5556.488999,26983.862268,75600.890325,55705.859933
48,"355;100;105;335",97010.871413,true,5594.971450,26541.920186,74425.402277,55322.557277
49,"15;100;105;335",97261.076551,true,6547.798612,24850.869806,75637.753020,56087.063247
50,"5;90;105;335",97601.919666,true,5610.661352,27032.769515,72986.635302,56930.342296
51,"5;110;105;335",97422.512994,true,5921.232444,26069.342278,73135.783147,57728.093398
52,"5;100;95;335",99551.412671,true,6026.486234,26462.704274,74964.172571,59160.271755
53,"5;100;115;335",98462.588243,true,6257.126757,26428.797292,73677.740205,57875.588183
54,"5;100;105;325",96958.011385,true,6015.021899,25580.604055,74000.533222,56724.237640
55,"5;100;105;345",98193.726396,true,5556.488999,26983.862268,75600.890325,55705.859933
56,"355;100;105;335",97010.871413,true,5594.971450,26541.920186,74425.402277,55322.557277
57,"15;100;105;335",97261.076551,true,6547.798612,24850.869806,75637.753020,56087.063247
58,"5;90;105;335",97601.919666,true,5610.661352,27032.769515,72986.635302,56930.342296
59,"5;110;105;335",97422.512994,true,5921.232444,26069.342278,73135.783147,57728.093398
60,"5;100;95;335",99551.412671,true,6026.486234,26462.704274,74964.172571,59160.271755
61,"5;100;115;335",98462.588243,true,6257.126757,26428.797292,73677.740205,57875.588183
62,"5;100;105;325",96958.011385,true,6015.021899,25580.604055,74000.533222,56724.237640
63,"5;100;105;345",98193.726396,true,5556.488999,26983.862268,75600.890325,55705.859933
64,"355;100;105;335",97010.871413,true,5594.971450,26541.920186,74425.402277,55322.557277
65,"15;100;105;335",97261.076551,true,6547.798612,24850.869806,75637.753020,56087.063247
66,"5;90;105;335",97601.919666,true,5610.661352,27032.769515,72986.635302,56930.342296
67,"5;110;105;335",97422.512994,true,5921.232444,26069.342278,73135.783147,57728.093398
68,"5;100;95;335",99551.412671,true,6026.486234,26462.704274,74964.172571,59160.271755
69,"5;100;115;335",98462.588243,true,6257.126757,26428.797292,73677.740205,57875.588183
70,"5;100;105;325",96958.011385,true,6015.021899,25580.604055,74000.533222,56724.237640
71,"5;100;105;345",98193.726396,true,5556.488999,26983.862268,75600.890325,55705.859933
72,"355;100;105;335",97010.871413,true,5594.971450,26541.920186,74425.402277,55322.557277
73,"15;100;105;335",97261.076551,true,6547.798612,24850.869806,75637.753020,56087.063247
74,"5;90;105;335",97601.919666,true,5610.661352,27032.769515,72986.635302,56930.342296
75,"5;110;105;335",97422.512994,true,5921.232444,26069.342278,73135.783147,57728.093398
76,"5;100;95;335",99551.412671,true,6026.486234,26462.704274,74964.172571,59160.271755
77,"5;100;115;335",98462.588243,true,6257.126757,26428.797292,73677.740205,57875.588183
78,"5;100;105;325",96958.011385,true,6015.021899,25580.604055,74000.533222,56724.237640
79,"5;100;105;345",98193.726396,true,5556.488999,26983.862268,75600.890325,55705.859933
80,"355;100;105;335",97010.871413,true,5594.971450,26541.920186,74425.402277,55322.557277
81,"15;100;105;335",97261.076551,true,6547.798612,24850.869806,75637.753020,56087.063247
82,"5;90;105;335",97601.919666,true,5610.661352,27032.769515,72986.635302,56930.342296
83,"5;110;105;335",97422.512994,true,5921.232444,26069.342278,73135.783147,57728.093398
84,"5;100;95;335",99551.412671,true,6026.486234,26462.704274,74964.172571,59160.271755
85,"5;100;115;335",98462.588243,true,6257.126757,26428.797292,73677.740205,57875.588183
86,"5;100;105;325",96958.011385,true,6015.021899,25580.604055,74000.533222,56724.237640
87,"5;100;105;345",98193.726396,true,5556.488999,26983.862268,75600.890325,55705.859933
88,"355;100;105;335",97010.871413,true,5594.971450,26541.920186,74425.402277,55322.557277
89,"15;100;105;335",97261.076551,true,6547.798612,24850.869806,75637.753020,56087.063247
90,"5;90;105;335",97601.919666,true,5610.661352,27032.769515,72986.635302,56930.342296
