eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"88;91;113;188",108990.411369,false,6954.095257,30813.999026,82494.011198,59950.622976
2,"83;91;113;188",107227.301281,false,6757.880524,30508.350995,81226.785609,58695.353915
3,"93;91;113;188",108330.848891,false,6916.157392,30529.708159,83308.034858,58461.931821
4,"88;86;113;188",109621.811587,false,6834.043445,30854.735134,82513.040738,61353.025278
5,"88;96;113;188",107194.928836,false,6772.488588,29993.833985,82302.960693,58554.251833
6,"88;91;108;188",112385.083164,false,7399.072172,31565.724594,84357.688086,62482.884710
7,"88;91;118;188",107297.506544,false,6528.911566,30321.364023,81406.492691,59487.969218
8,"88;91;113;183",107133.947638,false,5973.763460,31447.196220,81315.901981,58110.073937
9,"88;91;113;193",110083.131498,false,7379.054098,30738.948252,82941.396365,60988.861932
10,"83;91;113;183",105688.606339,false,5850.225470,31099.070960,80331.807114,57146.812703
11,"93;91;113;183",106548.190781,false,5974.559140,31150.227282,82145.551120,56701.257599
12,"88;86;113;183",107779.511078,false,5851.860653,31475.956489,81431.432002,59471.955872
13,"88;96;113;183",105511.528203,false,5858.988573,30601.161863,81255.046895,56847.708640
14,"88;91;108;183",109903.614315,false,6209.541888,32243.440700,82676.444653,60224.818802
15,"88;91;118;183",105702.971049,false,5569.843364,30949.534894,80493.527747,57873.657837
16,"88;91;113;178",104842.518588,false,5323.987504,31412.855514,79982.321264,56229.029874
17,"88;91;113;188",108990.411369,true,6954.095257,30813.999026,82494.011198,59950.622976
18,"83;91;113;178",103337.338447,false,5126.825135,31188.761518,78924.776502,55118.727087
19,"93;91;113;178",104213.640740,false,5344.921176,31136.768027,80725.551067,54738.352008
20,"88;86;113;178",105415.763876,false,5137.557204,31536.371701,80048.967851,57434.702091
21,"88;96;113;178",103212.473346,false,5182.293010,30664.355941,79745.788697,54985.860094
22,"88;91;108;178",107205.672398,false,5512.657881,32112.393510,80871.801521,58289.440492
23,"88;91;118;178",103572.532945,false,4904.528927,31159.003306,79246.409183,55771.592241
24,"88;91;113;173",105804.732129,false,6142.575279,30380.218716,82221.896839,56341.979430
25,"88;91;113;183",107133.947638,true,5973.763460,31447.196220,81315.901981,58110.073937
26,"83;96;113;178",102289.357442,false,5125.057698,30433.067141,79305.333323,54157.131884
27,"93;96;113;178",103591.727558,false,5247.201887,30700.365463,80730.621799,54557.698617
28,"88;91;113;178",104842.518588,true,5323.987504,31412.855514,79982.321264,56229.029874
29,"88;101;113;178",103336.781848,false,5110.735045,30689.369750,80225.266475,54848.087629
30,"88;96;108;178",105487.559913,false,5509.705903,31242.420289,80946.810081,56524.057360
31,"88;96;118;178",101800.527059,false,5006.085435,30319.779975,78628.069478,54321.253819
32,"88;96;113;173",104170.620807,false,5989.134767,29636.398598,81950.174634,55140.000251
33,"88;96;113;183",105511.528203,true,5858.988573,30601.161863,81255.046895,56847.708640
34,"83;96;118;178",101149.222537,false,4978.931276,30064.916571,78234.667102,53976.082279
35,"93;96;118;178",101824.213230,false,4960.328988,30339.066301,79539.807736,53509.828145
36,"88;91;118;178",103572.532945,true,4904.528927,31159.003306,79246.409183,55771.592241
37,"88;101;118;178",101937.464868,false,4915.861236,30511.418814,78924.033693,54096.335942
38,"88;96;113;178",103212.473346,true,5182.293010,30664.355941,79745.788697,54985.860094
39,"88;96;123;178",101232.306819,false,5098.074928,30129.037130,78020.962518,53989.427005
40,"88;96;118;173",102970.936890,false,5882.003891,29483.141585,80686.907958,54524.674871
41,"88;96;118;183",103718.204196,false,5640.086536,30007.851801,79804.738398,56335.793320
42,"78;96;118;178",98951.859861,false,5054.531342,29264.843966,78608.946338,50656.022767
43,"88;96;118;178",101800.527059,true,5006.085435,30319.779975,78628.069478,54321.253819
44,"83;91;118;178",102627.709348,false,4935.997066,30881.167121,78349.143995,55271.946326
45,"83;101;118;178",101426.501927,false,4918.685351,30425.906641,78557.497826,53606.322044
46,"83;96;113;178",102289.357442,true,5125.057698,30433.067141,79305.333323,54157.131884
47,"83;96;123;178",100462.143533,false,4868.216016,29936.116336,77434.735191,53880.887172
48,"83;96;118;173",102442.138363,false,5883.731838,29247.986204,80301.911857,54318.928784
49,"83;96;118;183",103186.400893,false,5666.667791,29825.835280,79425.363371,55962.432272
50,"73;96;118;178",99336.600529,false,4903.998435,29591.826919,77274.189581,52407.360769
51,"83;96;118;178",101149.222537,true,4978.931276,30064.916571,78234.667102,53976.082279
52,"78;91;118;178",100201.040238,false,5005.194449,29988.755976,78655.769595,51758.410031
53,"78;101;118;178",99305.907651,false,5052.581242,29624.680730,79038.320020,50218.971339
54,"78;96;113;178",100014.469161,false,5205.039808,29426.093707,79645.862264,51120.809027
55,"78;96;123;178",98138.802351,false,4932.032893,29079.406958,77615.469173,50639.255828
56,"78;96;118;173",100051.935284,false,5935.356786,28273.686390,80868.418040,50817.366176
57,"78;96;118;183",100898.815038,false,5623.233888,29061.402672,79805.289134,52623.067822
58,"73;96;123;178",98520.262074,false,4945.390388,29243.083506,76589.358742,52074.217618
59,"83;96;123;178",100462.143533,true,4868.216016,29936.116336,77434.735191,53880.887172
60,"78;91;123;178",99454.371132,false,4910.190376,29762.864762,77987.944885,51574.687103
61,"78;101;123;178",98582.026815,false,4762.875736,29667.594412,77795.130474,50507.982861
62,"78;96;118;178",98951.859861,true,5054.531342,29264.843966,78608.946338,50656.022767
63,"78;96;128;178",97250.980529,false,4868.376349,28944.886949,76794.945855,50080.488607
64,"78;96;123;173",99386.786881,false,5773.960313,28238.492887,79868.063099,50880.604265
65,"78;96;123;183",99950.257577,false,5515.057776,28842.170087,79067.109102,52118.950325
66,"73;96;128;178",97678.763852,false,4759.064206,29219.854901,75903.288579,51496.400912
67,"83;96;128;178",99536.437126,false,4731.468898,29787.182071,76500.628242,53534.944071
68,"78;91;128;178",98608.173311,false,4777.322284,29843.133326,76977.892215,50997.543187
69,"78;101;128;178",97508.056330,false,4690.855687,29417.887219,76961.501000,49837.125849
70,"78;96;123;178",98138.802351,true,4932.032893,29079.406958,77615.469173,50639.255828
71,"78;96;133;178",96765.933655,false,5075.592068,28402.726630,76601.172113,49974.057803
72,"78;96;128;173",98603.629875,false,5688.615868,28050.686910,79031.814517,50696.839676
73,"78;96;128;183",99062.592923,false,5454.229741,28626.493001,78390.993064,51572.747298
74,"73;96;133;178",96897.201976,false,4830.267822,28782.651799,75035.507807,51533.056904
75,"83;96;133;178",99218.198242,false,5042.765063,29386.074345,76029.724530,53548.993138
76,"78;91;133;178",98682.970410,false,5112.490241,29351.745328,77440.506194,50996.963486
77,"78;101;133;178",96650.456545,false,4880.492203,28700.069109,76365.794811,49773.995655
78,"78;96;128;178",97250.980529,true,4868.376349,28944.886949,76794.945855,50080.488607
79,"78;96;138;178",96204.081153,false,4614.744296,28624.312343,76084.252350,49845.796678
80,"78;96;133;173",98367.463963,false,5914.019064,27712.182369,78646.685535,50835.839527
81,"78;96;133;183",98048.232941,false,5673.156567,28010.480335,77763.044799,50966.147280
82,"73;96;138;178",96828.819640,false,4514.069369,28909.076177,75363.228516,51448.119671
83,"83;96;138;178",98643.999828,false,4552.026805,29577.126726,75667.088337,53362.604257
84,"78;91;138;178",97801.972712,false,4722.046091,29349.236233,76209.214215,51252.166564
85,"78;101;138;178",96536.720818,false,4660.694805,28976.278608,75786.725584,50012.769226
86,"78;96;133;178",96765.933655,true,5075.592068,28402.726630,76601.172113,49974.057803
87,"78;96;143;178",94537.666825,false,4459.528419,27917.176263,76100.237009,48221.687278
88,"78;96;138;173",98090.188327,false,5516.277712,27891.240372,78549.440860,50815.899626
89,"78;96;138;183",97485.587886,false,5024.713872,28246.797430,77516.920231,50911.232937
90,"73;96;143;178",95075.320056,false,4387.635636,28199.604073,75195.249035,49780.911658
91,"83;96;143;178",96746.463074,false,4441.170888,28617.167540,75699.519372,51676.729918
92,"78;91;143;178",95982.528568,false,4527.600269,28656.254358,76262.429628,49334.918255
93,"78;101;143;178",94721.800412,false,4322.602624,28334.515561,76116.374595,48012.989858
94,"78;96;138;178",96204.081153,true,4614.744296,28624.312343,76084.252350,49845.796678
95,"78;96;148;178",94828.105421,false,4417.201198,28166.384168,76203.559652,48285.480457
96,"78;96;143;173",96554.953534,false,5399.678492,27062.677646,78798.114492,49387.080299
97,"78;96;143;183",95799.733681,false,4911.545573,27437.158639,77556.924724,49345.134216
98,"73;96;143;178",95075.320056,true,4387.635636,28199.604073,75195.249035,49780.911658
99,"83;96;143;178",96746.463074,true,4441.170888,28617.167540,75699.519372,51676.729918
100,"78;91;143;178",95982.528568,true,4527.600269,28656.254358,76262.429628,49334.918255
101,"78;101;143;178",94721.800412,true,4322.602624,28334.515561,76116.374595,48012.989858
102,"78;96;138;178",96204.081153,true,4614.744296,28624.312343,76084.252350,49845.796678
103,"78;96;148;178",94828.105421,true,4417.201198,28166.384168,76203.559652,48285.480457
104,"78;96;143;173",96554.953534,true,5399.678492,27062.677646,78798.114492,49387.080299
105,"78;96;143;183",95799.733681,true,4911.545573,27437.158639,77556.924724,49345.134216
106,"73;96;143;178",95075.320056,true,4387.635636,28199.604073,75195.249035,49780.911658
107,"83;96;143;178",96746.463074,true,4441.170888,28617.167540,75699.519372,51676.729918
108,"78;91;143;178",95982.528568,true,4527.600269,28656.254358,76262.429628,49334.918255
109,"78;101;143;178",94721.800412,true,4322.602624,28334.515561,76116.374595,48012.989858
110,"78;96;138;178",96204.081153,true,4614.744296,28624.312343,76084.252350,49845.796678
111,"78;96;148;178",94828.105421,true,4417.201198,28166.384168,76203.559652,48285.480457
112,"78;96;143;173",96554.953534,true,5399.678492,27062.677646,78798.114492,49387.080299
113,"78;96;143;183",95799.733681,true,4911.545573,27437.158639,77556.924724,49345.134216
114,"73;96;143;178",95075.320056,true,4387.635636,28199.604073,75195.249035,49780.911658
115,"83;96;143;178",96746.463074,true,4441.170888,28617.167540,75699.519372,51676.729918
116,"78;91;143;178",95982.528568,true,4527.600269,28656.254358,76262.429628,49334.918255
117,"78;101;143;178",94721.800412,true,4322.602624,28334.515561,76116.374595,48012.989858
118,"78;96;138;178",96204.081153,true,4614.744296,28624.312343,76084.252350,49845.796678
119,"78;96;148;178",94828.105421,true,4417.201198,28166.384168,76203.559652,48285.480457
120,"78;96;143;173",96554.953534,true,5399.678492,27062.677646,78798.114492,49387.080299
121,"78;96;143;183",95799.733681,true,4911.545573,27437.158639,77556.924724,49345.134216
122,"73;96;143;178",95075.320056,true,4387.635636,28199.604073,75195.249035,49780.911658
123,"83;96;143;178",96746.463074,true,4441.170888,28617.167540,75699.519372,51676.729918
124,"78;91;143;178",95982.528568,true,4527.600269,28656.254358,76262.429628,49334.918255
125,"78;101;143;178",94721.800412,true,4322.602624,28334.515561,76116.374595,48012.989858
126,"78;96;138;178",96204.081153,true,4614.744296,28624.312343,76084.252350,49845.796678
127,"78;96;148;178",94828.105421,true,4417.201198,28166.384168,76203.559652,48285.480457
128,"78;96;143;173",96554.953534,true,5399.678492,27062.677646,78798.114492,49387.080299
129,"78;96;143;183",95799.733681,true,4911.545573,27437.158639,77556.924724,49345.134216
130,"73;96;143;178",95075.320056,true,4387.635636,28199.604073,75195.249035,49780.911658
131,"83;96;143;178",96746.463074,true,4441.170888,28617.167540,75699.519372,51676.729918
132,"78;91;143;178",95982.528568,true,4527.600269,28656.254358,76262.429628,49334.918255
133,"78;101;143;178",94721.800412,true,4322.602624,28334.515561,76116.374595,48012.989858
134,"78;96;138;178",96204.081153,true,4614.744296,28624.312343,76084.252350,49845.796678
135,"78;96;148;178",94828.105421,true,4417.201198,28166.384168,76203.559652,48285.480457
136,"78;96;143;173",96554.953534,true,5399.678492,27062.677646,78798.114492,49387.080299
137,"78;96;143;183",95799.733681,true,4911.545573,27437.158639,77556.924724,49345.134216
138,"73;96;143;178",95075.320056,true,4387.635636,28199.604073,75195.249035,49780.911658
139,"83;96;143;178",96746.463074,true,4441.170888,28617.167540,75699.519372,51676.729918
140,"78;91;143;178",95982.528568,true,4527.600269,28656.254358,76262.429628,49334.918255
