eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
1,55;130;145;200,100191.694170,false,0,,,
2,50;130;145;200,100187.394874,false,1,5,False,True
3,60;130;145;200,100261.682245,false,1,5,False,False
4,55;125;145;200,100131.377716,false,1,5,False,True
5,55;135;145;200,99932.858487,false,1,5,False,True
6,55;130;140;200,96171.297045,false,1,5,False,True
7,55;130;150;200,100143.444244,false,1,5,False,False
8,55;130;145;195,100310.122804,false,1,5,False,False
9,55;130;145;205,100265.095759,false,1,5,False,False
10,50;130;140;200,96339.221586,false,2,5,False,True
11,60;130;140;200,96079.646961,false,2,5,False,True
12,55;125;140;200,96114.128397,false,2,5,False,False
13,55;135;140;200,96180.778601,false,2,5,False,False
14,55;130;135;200,102182.395750,false,2,5,False,False
15,55;130;145;200,100191.694170,true,2,5,False,False
16,55;130;140;195,96321.469925,false,2,5,False,False
17,55;130;140;205,95949.221006,false,2,5,False,True
18,50;130;140;205,95974.867722,false,3,5,False,True
19,60;130;140;205,95681.920275,false,3,5,False,True
20,55;125;140;205,95855.918309,false,3,5,False,False
21,55;135;140;205,95919.508479,false,3,5,False,False
22,55;130;135;205,102103.523677,false,3,5,False,False
23,55;130;145;205,100265.095759,true,3,5,False,False
24,55;130;140;200,96171.297045,true,3,5,True,False
25,55;130;140;210,95989.680799,false,3,5,False,False
26,55;130;140;205,95949.221006,true,4,5,True,True
27,65;130;140;205,96033.131681,false,4,5,False,False
28,60;125;140;205,95692.939181,false,4,5,False,True
29,60;135;140;205,95609.085374,false,4,5,False,True
30,60;130;135;205,101586.236901,false,4,5,False,False
31,60;130;145;205,100409.523635,false,4,5,False,False
32,60;130;140;200,96079.646961,true,4,5,False,False
33,60;130;140;210,95825.218490,false,4,5,False,False
34,55;135;140;205,95919.508479,true,5,5,False,True
35,65;135;140;205,95975.993281,false,5,5,False,False
36,60;130;140;205,95681.920275,true,5,5,True,False
37,60;135;145;205,100106.702546,false,5,5,False,False
38,60;135;140;200,96030.475972,false,5,5,False,False
39,60;135;140;210,95725.733612,false,5,5,False,True
