eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"25;60;240;300",105989.158792,false,7381.301696,28287.111589,77201.652323,63439.838692
2,"20;60;240;300",106029.280982,false,7401.842608,28212.313022,76646.590727,64183.659977
3,"30;60;240;300",105989.188316,false,7368.448255,28433.503912,78104.053265,62270.419033
4,"25;55;240;300",106066.858008,false,7323.915388,28559.215702,78013.127460,62354.326375
5,"25;65;240;300",106762.685199,false,7343.399215,28832.134810,77317.962410,63856.339939
6,"25;60;235;300",106560.285772,false,7418.467050,28494.157157,77506.361152,63788.961978
7,"25;60;245;300",105964.596436,false,7410.318425,28259.741265,77422.551228,63166.522265
8,"20;60;245;300",106140.858123,false,7491.065971,28137.188749,77179.028364,63846.178442
9,"30;60;245;300",105921.318845,false,7329.774414,28379.721695,78168.645440,62255.000032
10,"25;60;245;300",105964.596436,true,7410.318425,28259.741265,77422.551228,63166.522265
11,"35;60;245;300",105500.322711,false,7159.266504,28343.485033,78600.707662,61394.434686
12,"30;60;245;300",105921.318845,true,7329.774414,28379.721695,78168.645440,62255.000032
13,"40;60;245;300",105774.976384,false,7285.651225,28208.024731,78994.900698,61567.700158
14,"35;55;245;300",105710.051494,false,7074.474907,28548.822415,78849.272982,61324.235360
15,"35;65;245;300",106286.609275,false,7265.518278,28741.258771,78460.076550,62099.587903
16,"35;60;240;300",105614.350159,false,7216.905913,28420.059497,78787.329068,61167.440431
17,"35;60;250;300",105016.326018,false,7044.437326,28382.266275,78881.151508,60298.093327
18,"30;60;250;300",105559.060536,false,7130.054397,28354.211506,78890.987577,61258.601687
19,"40;60;250;300",105154.210812,false,7184.967778,28218.751741,78674.817008,60826.165578
20,"35;55;250;300",105143.877309,false,7089.387193,28430.797529,78889.290033,60358.095142
21,"35;65;250;300",105635.299277,false,7006.134681,28629.878775,79061.085826,60937.485817
22,"35;60;245;300",105500.322711,true,7159.266504,28343.485033,78600.707662,61394.434686
23,"35;60;255;300",103064.286834,false,7190.679974,27501.353527,79959.315200,56785.191467
24,"30;60;255;300",103248.727436,false,7285.632549,27395.182380,79312.104248,57823.720766
25,"40;60;255;300",103432.482405,false,7406.926778,27469.055728,79984.616130,57128.383668
26,"35;55;255;300",103450.030086,false,7254.518485,27445.906812,80728.294676,56770.914902
27,"35;65;255;300",103950.761351,false,7289.245083,27864.942477,80212.459947,57380.687633
28,"35;60;250;300",105016.326018,true,7044.437326,28382.266275,78881.151508,60298.093327
29,"35;60;260;300",105618.798794,false,7024.458545,28137.086471,79621.913757,61292.593801
30,"35;60;255;295",105303.032416,false,7563.943901,28194.522581,81369.445650,57719.686220
31,"35;60;255;305",101944.015564,false,7222.569377,27145.092617,78807.419173,56345.287966
