eval,angles_deg,objective,cached
1,"35;160;250;345",103979.676688,false
2,"25;160;250;345",103887.050177,false
3,"15;160;250;345",104192.451157,false
4,"35;160;250;345",103979.676688,true
5,"25;150;250;345",101603.510906,false
6,"15;150;250;345",101875.937408,false
7,"35;150;250;345",101489.225626,false
8,"25;150;250;345",101603.510906,true
9,"45;150;250;345",101591.159732,false
10,"35;140;250;345",96762.545636,false
11,"25;140;250;345",97279.293099,false
12,"45;140;250;345",96889.949882,false
13,"35;130;250;345",101913.215860,false
14,"35;150;250;345",101489.225626,true
15,"35;140;240;345",97060.986648,false
16,"35;140;260;345",96191.365720,false
17,"25;140;260;345",96877.878660,false
18,"45;140;260;345",96390.809005,false
19,"35;130;260;345",101947.254771,false
20,"35;150;260;345",100802.875500,false
21,"35;140;250;345",96762.545636,true
22,"35;140;270;345",93740.045772,false
23,"25;140;270;345",94245.484727,false
24,"45;140;270;345",93831.644874,false
25,"35;130;270;345",98250.161513,false
26,"35;150;270;345",97421.097915,false
27,"35;140;260;345",96191.365720,true
28,"35;140;280;345",94489.321023,false
29,"35;140;270;335",92800.248302,false
30,"25;140;270;335",93305.927667,false
31,"45;140;270;335",92760.977141,false
32,"35;140;270;335",92800.248302,true
33,"55;140;270;335",92639.650774,false
34,"45;140;270;335",92760.977141,true
35,"65;140;270;335",92858.187938,false
36,"55;130;270;335",97136.653487,false
37,"55;150;270;335",96950.324707,false
38,"55;140;260;335",95625.229186,false
39,"55;140;280;335",93798.823584,false
40,"55;140;270;325",92325.986589,false
41,"45;140;270;325",92306.481832,false
42,"35;140;270;325",92158.793509,false
43,"25;140;270;325",93073.944052,false
44,"45;140;270;325",92306.481832,true
45,"35;130;270;325",97078.696147,false
46,"35;150;270;325",94773.583244,false
47,"35;140;260;325",94804.263100,false
48,"35;140;280;325",93396.650601,false
49,"35;140;270;315",91201.061621,false
50,"25;140;270;315",92156.420734,false
51,"45;140;270;315",91359.118098,false
52,"35;130;270;315",98128.131340,false
53,"35;150;270;315",94205.388626,false
54,"35;140;260;315",93901.923930,false
55,"35;140;280;315",92177.553306,false
56,"35;140;270;305",91837.207067,false
57,"35;140;270;325",92158.793509,true
58,"35;130;270;315",98128.131340,true
59,"35;140;270;315",91201.061621,true
60,"35;140;280;315",92177.553306,true
61,"25;140;280;315",92842.401074,false
62,"45;140;280;315",92397.275416,false
63,"35;130;280;315",99326.543793,false
