eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"27;36;223;249",131979.726849,false,9163.395751,36565.928951,100261.876798,72238.927495
2,"22;36;223;249",128527.643439,false,9004.964304,35272.764499,98469.466594,70030.362677
3,"32;36;223;249",134703.210070,false,9730.282515,37172.145334,101088.259981,74513.304461
4,"27;31;223;249",133781.958549,false,9397.509501,37082.513385,100985.983689,73617.887639
5,"27;41;223;249",131021.258628,false,9311.636394,36351.462039,98932.965962,71783.354430
6,"27;36;218;249",135833.749727,false,9181.190563,37408.836788,100617.139080,77870.305670
7,"27;36;228;249",132461.024701,false,8929.505088,37084.246895,98649.564363,74244.981074
8,"27;36;223;244",135351.116276,false,9232.378725,38100.082401,100267.366420,75769.943878
9,"27;36;223;254",126430.193892,false,8947.533776,34161.025319,97423.191878,69220.077715
10,"22;36;223;254",123520.054211,false,8723.219231,33185.762243,96216.679362,67005.466111
11,"32;36;223;254",128835.231445,false,9499.951729,34619.816731,98185.963691,71244.962278
12,"27;31;223;254",128306.350977,false,9360.484829,34608.820618,98138.975536,70535.115523
13,"27;41;223;254",126583.085674,false,9379.590342,33992.840818,97663.479390,68757.829638
14,"27;36;218;254",129832.167941,false,9067.261544,34784.482562,98265.335498,73695.512171
15,"27;36;228;254",126854.291171,false,8824.428317,34796.077225,96444.212111,70023.359147
16,"27;36;223;249",131979.726849,true,9163.395751,36565.928951,100261.876798,72238.927495
17,"27;36;223;259",123770.400135,false,8395.085039,32954.003788,94929.715911,69912.906703
18,"17;36;223;254",119184.733889,false,7870.537413,32365.605789,92374.858662,65522.322710
19,"27;36;223;254",126430.193892,true,8947.533776,34161.025319,97423.191878,69220.077715
20,"22;31;223;254",124698.766955,false,8834.007641,33415.349322,96957.997782,67940.822203
21,"22;41;223;254",123210.031329,false,8854.158474,33047.217940,95482.609869,67134.699960
22,"22;36;218;254",126555.740353,false,8742.681138,33825.093640,96481.587484,71494.343666
23,"22;36;228;254",123918.025805,false,8595.925074,33718.478760,94616.497772,68590.746172
24,"22;36;223;249",128527.643439,true,9004.964304,35272.764499,98469.466594,70030.362677
25,"22;36;223;259",120927.752946,false,8309.633126,31987.885132,93307.858013,67952.611363
26,"12;36;223;254",116336.148909,false,7637.812441,31157.931811,90688.087703,64392.721613
27,"22;36;223;254",123520.054211,true,8723.219231,33185.762243,96216.679362,67005.466111
28,"17;31;223;254",119746.498540,false,7994.502755,32340.336153,93429.622224,65393.697041
29,"17;41;223;254",119207.178290,false,8071.016954,32329.282314,91708.956611,65904.801431
30,"17;36;218;254",121602.369538,false,7843.752851,32794.829895,92704.654592,69222.918992
31,"17;36;228;254",119749.027282,false,7874.896173,32753.109324,90570.475451,67671.568120
32,"17;36;223;249",123997.880273,false,8140.236281,34301.892466,94765.472440,68346.030611
33,"17;36;223;259",117240.727457,false,7674.372752,31385.895564,90011.824801,66349.093481
34,"7;36;223;254",112866.191599,false,7169.099148,30251.352522,87700.106995,63191.372863
35,"17;36;223;254",119184.733889,true,7870.537413,32365.605789,92374.858662,65522.322710
36,"12;31;223;254",116376.822606,false,7675.602463,31053.446364,91164.498626,64131.048933
37,"12;41;223;254",116450.295076,false,7753.406380,31251.992676,90233.936351,64655.855688
38,"12;36;218;254",118354.928882,false,7633.045632,31394.154621,90985.940901,67669.516355
39,"12;36;228;254",117147.738931,false,7552.115075,31631.835825,89172.231101,66755.344961
40,"12;36;223;249",120801.508736,false,7883.700096,32871.389170,93094.892952,66997.945988
41,"12;36;223;259",114658.679034,false,7314.898194,30490.828893,88274.648115,65431.255780
42,"2;36;223;254",109375.313647,false,6035.422448,30846.733875,83381.336228,61604.978421
43,"12;36;223;254",116336.148909,true,7637.812441,31157.931811,90688.087703,64392.721613
44,"7;31;223;254",112753.798730,false,7192.119277,30187.940583,87951.545586,62795.932155
45,"7;41;223;254",113667.652295,false,7253.764187,30589.552800,88108.305767,63540.364848
46,"7;36;218;254",114774.800162,false,7093.419009,30610.906590,88096.708927,66044.240199
47,"7;36;228;254",114049.180727,false,7098.898753,30864.702334,86786.266477,65384.892805
48,"7;36;223;249",117089.637211,false,7197.913650,31762.808851,90406.318841,65851.510579
49,"7;36;223;259",111915.366112,false,6866.073720,29901.775311,85903.362877,64391.671285
50,"357;36;223;254",106313.970593,false,5309.811592,30782.571509,81417.962327,59025.212658
51,"7;36;223;254",112866.191599,true,7169.099148,30251.352522,87700.106995,63191.372863
52,"2;31;223;254",109111.812918,false,6063.807698,30666.572929,83688.821001,61074.043580
53,"2;41;223;254",110059.401988,false,6184.121012,31061.319427,83535.582704,62092.340394
54,"2;36;218;254",110637.185048,false,5877.467470,31209.955193,83254.077837,63845.446933
55,"2;36;228;254",110378.906491,false,6073.833773,31308.973989,82176.649684,63815.547772
56,"2;36;223;249",112763.376583,false,5939.183448,32277.445062,85367.844348,63725.651800
57,"2;36;223;259",108728.083619,false,5929.680114,30520.063175,81562.022516,62994.658145
58,"352;36;223;254",104847.438405,false,5843.200462,28834.815636,82459.090654,57879.753959
59,"2;36;223;254",109375.313647,true,6035.422448,30846.733875,83381.336228,61604.978421
60,"357;31;223;254",105840.509608,false,5301.983011,30556.780434,81420.743459,58542.748866
61,"357;41;223;254",107354.019943,false,5361.174017,31016.104557,81996.506710,59956.976026
62,"357;36;218;254",107627.184196,false,5275.854717,31038.061103,80992.948803,61633.587949
63,"357;36;228;254",107479.327344,false,5384.144182,31332.736627,80116.907212,61407.985857
64,"357;36;223;249",109273.180405,false,5139.427914,32162.597905,83337.880009,60604.429162
65,"357;36;223;259",106085.749865,false,5229.681891,30567.771536,80198.671951,60377.920924
66,"347;36;223;254",103455.545527,false,6172.757794,27424.558385,82484.794775,57231.663920
67,"357;36;223;254",106313.970593,true,5309.811592,30782.571509,81417.962327,59025.212658
68,"352;31;223;254",104462.161571,false,5829.804911,28710.169547,82521.499686,57322.874540
69,"352;41;223;254",105633.215555,false,5904.029468,29068.087564,82747.986012,58574.211033
70,"352;36;218;254",106506.964197,false,5899.529090,29280.692020,82294.764092,60358.722082
71,"352;36;228;254",106219.689773,false,5903.184493,29559.756847,81114.529837,60398.967030
72,"352;36;223;249",107636.677404,false,5755.034720,30039.499665,84173.155919,59511.130120
73,"352;36;223;259",105258.686516,false,5813.923312,28969.844491,81415.557873,59534.279554
