improvement,eval,angles_deg,objective
0,1,40;160;165;305,100947.795105
1,3,45;160;165;305,100427.090963
2,5,50;160;165;305,100400.558245
3,7,55;160;165;305,100161.356737
4,10,55;155;165;305,99091.502094
5,13,55;150;165;305,98084.521832
6,15,60;150;165;305,98065.985476
7,20,60;150;160;305,97264.907731
8,21,55;150;160;305,97259.121819
9,29,55;150;160;310,96986.481447
10,30,50;150;160;310,96922.588078
11,41,49;150;160;310,96885.327695
12,44,49;145;160;310,96789.234005
13,47,49;140;160;310,92478.906821
14,90,49;140;169;310,91993.230766
