eval,angles_deg,objective,cached
1,"195;283;284;333",102607.709270,false
2,"185;283;284;333",101515.685969,false
3,"205;283;284;333",100537.958775,false
4,"195;273;284;333",99291.364542,false
5,"195;293;284;333",101874.408550,false
6,"195;283;274;333",100026.230134,false
7,"195;283;294;333",101415.559744,false
8,"195;283;284;323",102478.381169,false
9,"195;283;284;343",102751.862599,false
10,"185;273;284;333",97910.111246,false
11,"205;273;284;333",97876.809443,false
12,"195;263;284;333",101374.635322,false
13,"195;283;284;333",102607.709270,true
14,"195;273;274;333",100926.764701,false
15,"195;273;294;333",98711.316669,false
16,"195;273;284;323",99215.469668,false
17,"195;273;284;343",100115.716257,false
18,"195;273;284;333",99291.364542,true
19,"215;273;284;333",97707.569092,false
20,"205;263;284;333",100122.390395,false
21,"205;283;284;333",100537.958775,true
22,"205;273;274;333",99324.533391,false
23,"205;273;294;333",97896.531385,false
24,"205;273;284;323",97344.476535,false
25,"205;273;284;343",99520.844064,false
26,"195;273;284;323",99215.469668,true
27,"215;273;284;323",97198.407043,false
28,"205;263;284;323",100166.201783,false
29,"205;283;284;323",100433.081281,false
30,"205;273;274;323",98363.388301,false
31,"205;273;294;323",97649.671338,false
32,"205;273;284;313",98288.265400,false
33,"205;273;284;333",97876.809443,true
34,"205;273;284;323",97344.476535,true
35,"225;273;284;323",95575.035953,false
36,"215;263;284;323",100086.642512,false
37,"215;283;284;323",99765.409450,false
38,"215;273;274;323",97845.952337,false
39,"215;273;294;323",97338.170307,false
40,"215;273;284;313",97502.877540,false
41,"215;273;284;333",97707.569092,true
42,"215;273;284;323",97198.407043,true
43,"235;273;284;323",97676.506633,false
44,"225;263;284;323",97136.072209,false
45,"225;283;284;323",96999.535746,false
46,"225;273;274;323",96331.359798,false
47,"225;273;294;323",95776.314459,false
48,"225;273;284;313",96359.018149,false
49,"225;273;284;333",96219.182760,false
