improvement,eval,angles_deg,objective
0,1,125;132;139;302,104076.085284
1,2,115;132;139;302,102420.634484
2,5,125;142;139;302,101383.273837
3,13,125;142;149;302,100202.446545
4,16,115;142;139;302,99817.372112
5,18,105;142;139;302,96413.594251
6,26,95;142;139;302,96171.241825
7,30,105;142;129;302,95639.308683
8,33,105;142;139;312,94871.341127
9,40,105;142;129;312,94573.500500
10,41,105;142;149;312,93829.378266
11,43,105;142;159;312,92793.989746
12,51,105;142;169;312,91463.465634
13,59,105;142;179;312,91131.786488
