eval,angles_deg,objective,cached
1,"10;100;155;260",99918.946282,false
2,"0;100;155;260",99711.893170,false
3,"350;100;155;260",101822.560725,false
4,"10;100;155;260",99918.946282,true
5,"0;90;155;260",101858.688066,false
6,"0;110;155;260",99971.896940,false
7,"0;100;145;260",97343.636341,false
8,"350;100;145;260",98800.266271,false
9,"10;100;145;260",98300.289474,false
10,"0;90;145;260",99741.413538,false
11,"0;110;145;260",98362.971868,false
12,"0;100;135;260",98138.903084,false
13,"0;100;155;260",99711.893170,true
14,"0;100;145;250",96336.056799,false
15,"350;100;145;250",97721.051930,false
16,"10;100;145;250",97341.829876,false
17,"0;90;145;250",98150.389212,false
18,"0;110;145;250",97537.550042,false
19,"0;100;135;250",96772.067957,false
20,"0;100;155;250",98664.012004,false
21,"0;100;145;240",95934.791012,false
22,"350;100;145;240",97212.596956,false
23,"10;100;145;240",96857.266363,false
24,"0;90;145;240",97993.937153,false
25,"0;110;145;240",97100.991118,false
26,"0;100;135;240",96104.325632,false
27,"0;100;155;240",97878.563639,false
28,"0;100;145;230",95414.857242,false
29,"350;100;145;230",96762.050200,false
30,"10;100;145;230",96110.976621,false
31,"0;90;145;230",97354.764684,false
32,"0;110;145;230",96503.179917,false
33,"0;100;135;230",95581.753120,false
34,"0;100;155;230",97346.196137,false
35,"0;100;145;220",95619.528042,false
36,"0;100;145;240",95934.791012,true
37,"0;89;145;230",97483.790419,false
38,"0;89;131;230",98304.823728,false
39,"0;89;131;218",99263.384192,false
40,"350;89;131;218",100053.008590,false
41,"10;89;131;218",100412.219922,false
42,"0;79;131;218",98732.713691,false
43,"350;79;131;218",99616.981882,false
44,"10;79;131;218",100363.579777,false
45,"0;69;131;218",99920.793625,false
46,"0;89;131;218",99263.384192,true
47,"0;79;121;218",99496.970168,false
48,"0;79;141;218",93243.921257,false
49,"350;79;141;218",94111.249600,false
50,"10;79;141;218",94296.921603,false
51,"0;69;141;218",94845.411331,false
52,"0;89;141;218",93520.893468,false
53,"0;79;131;218",98732.713691,true
54,"0;79;151;218",99226.666765,false
55,"0;79;141;208",93205.505638,false
56,"350;79;141;208",93974.518445,false
57,"10;79;141;208",94399.518318,false
58,"0;69;141;208",94992.489155,false
59,"0;89;141;208",93590.577901,false
60,"0;79;131;208",98791.900828,false
61,"0;79;151;208",99446.871923,false
62,"0;79;141;198",93724.341133,false
63,"0;79;141;218",93243.921257,true
64,"0;79;128;208",98587.041459,false
65,"0;98;128;208",97167.962933,false
66,"0;98;128;194",98259.119158,false
67,"350;98;128;194",98480.424496,false
68,"10;98;128;194",99221.138480,false
69,"0;88;128;194",100782.976534,false
70,"0;108;128;194",99463.707862,false
71,"0;98;118;194",98621.972629,false
72,"0;98;138;194",97560.901009,false
73,"350;98;138;194",97999.732322,false
74,"10;98;138;194",97935.045580,false
75,"0;88;138;194",100345.421950,false
76,"0;108;138;194",98439.502821,false
77,"0;98;128;194",98259.119158,true
78,"0;98;148;194",96719.236648,false
79,"350;98;148;194",97460.098488,false
80,"10;98;148;194",97613.391368,false
81,"0;88;148;194",99631.328437,false
82,"0;108;148;194",97505.914858,false
83,"0;98;138;194",97560.901009,true
84,"0;98;158;194",99060.742651,false
85,"0;98;148;184",96688.133458,false
86,"350;98;148;184",97433.536248,false
87,"10;98;148;184",97078.914057,false
88,"0;88;148;184",99826.767814,false
